tweets,id,name,location,coordinates,created_at,favorite_count,geo,place,source,clean_tweets
RT @TylerGlaiel: need a better facemask to put this thing in but the proof of concept is working for now! https://t.co/elxf5rof8S,1.258183293469487e+18,Cowmix,"Phoenix, AZ",,2020-05-06,0.0,,,Twitter Web App,rt tylerglaiel need better facemask put thing proof concept working https co elxf rof
"RT @AnnieSaliss: But seriously,  I don't see anything wrong with what the NCDC boss said.
Its either some Nigerians lack common sense or ar…",1.2581832832354875e+18,Akinola Opeyemi,"Lagos, Nigeria",,2020-05-06,0.0,,,Twitter for iPhone,rt anniesaliss seriously see anything wrong ncdc boss said either nigerians lack common sense ar
"@DeanClancy Where is your facemask, Criminal?",1.258183231519617e+18,Andrew Clancy,"Glendale, CA",,2020-05-06,1.0,,,Twitter Web App,deanclancy facemask criminal
RT @djorkaa_: Why is my dumbass smiling at people while I have my FaceMask on🤦🏻‍♂️,1.2581831140455793e+18,♡ nico ♡,,,2020-05-06,0.0,,,Twitter for iPhone,rt djorkaa dumbass smiling people facemask
RT @defiaye: If u would like to donate to the 'Facemask Fund' there's a donate button on the right side of https://t.co/tJmbiTRMHY. I've pu…,1.258183092730282e+18,christopher michael donohue,"North Ayrshire, Scotland",,2020-05-06,0.0,,,Twitter Web App,rt defiaye u would like donate facemask fund donate button right side https co tjmbitrmhy pu
I don't understand these type of facemask tho. I'm supposed to give up breathing or what https://t.co/5E8QI5x74e,1.2581830611555246e+18,Chizzytene Ted,"Abuja, Nigeria",,2020-05-06,2.0,,,Twitter for Android,understand type facemask tho supposed give breathing https co e qi x e
@ckchumley @WashTimes I read with sadness your defiant protest against mile hi facemask mandates. What gives you th… https://t.co/2TpieNfoUd,1.2581830526159872e+18,Marc Ginsberg,"Washington, D.C. and New York",,2020-05-06,0.0,,,Twitter for iPhone,ckchumley washtimes read sadness defiant protest mile hi facemask mandates gives th https co tpienfoud
Headband With Buttons with Matching Mask - Womens Facemask with Matching Headband - Headband with Matching Mask - C… https://t.co/aVpVU8pzB2,1.2581830275967263e+18,Sebastianseven,"Lockport, NY",,2020-05-06,0.0,,,dlvr.it,headband buttons matching mask womens facemask matching headband headband matching mask c https co avpvu pzb
Button Headband with Matching Facemask - Face Mask with Matching Headband With Buttons - Nurse Headband for Mask -… https://t.co/Lp0tWhp0in,1.2581830201938412e+18,Sebastianseven,"Lockport, NY",,2020-05-06,0.0,,,dlvr.it,button headband matching facemask face mask matching headband buttons nurse headband mask https co lp twhp
"Bragger... 
If you need a facemask, go check out this braggers shit. 
They all look great, except the one that look… https://t.co/hsHvzBYrsq",1.2581830058997555e+18,EvelDick,"The Taint of the US, Florida",,2020-05-06,2.0,,,Twitter Web App,bragger need facemask go check braggers shit look great except one look https co hshvzbyrsq
"RT @AndyKingSoCal: If my 10 year old can learn to be quiet while hiding from a shooter for your rights, you can wear a facemask for my righ…",1.2581829786996982e+18,Tyra Gaylord,,,2020-05-06,0.0,,,Twitter Web App,rt andykingsocal year old learn quiet hiding shooter rights wear facemask righ
"RT @AnnieSaliss: But seriously,  I don't see anything wrong with what the NCDC boss said.
Its either some Nigerians lack common sense or ar…",1.2581829763466977e+18,Leon Ikechukwu,,,2020-05-06,0.0,,,Twitter for Android,rt anniesaliss seriously see anything wrong ncdc boss said either nigerians lack common sense ar
Wearing Facemask Is An Embarrassment To Science – Pastor Chris Oyakhilome Voice Out – ABJ Galaxy https://t.co/zWulJ9KiO6,1.258182967744217e+18,ABJ galaxy,"Abuja, Nigeria.",,2020-05-06,0.0,,,Twitter Web App,wearing facemask embarrassment science pastor chris oyakhilome voice abj galaxy https co zwulj kio
Ima need apple to make a Face ID recognizing my eyes and facemask,1.258182896755462e+18,Z R A L ↩️,Planet Mars ,,2020-05-06,2.0,,,Twitter for iPhone,ima need apple make face id recognizing eyes facemask
@RealChalamet IMPORTANT QUESTION: do you tie your hair up when you put on a facemask?,1.2581828916259062e+18,Liv 🦕,"England, United Kingdom",,2020-05-06,0.0,,,Twitter for iPhone,realchalamet important question tie hair put facemask
Happy Sigh! The gorgeous #MissouriStarQuiltCo fabric order of #fatquarters has arrived - my #facemask making… https://t.co/OZFYcOD0h4,1.2581828830067098e+18,Vicki J O'Grady Longo,TheCarriageHouse in Nutley NJ,,2020-05-06,0.0,,,Instagram,happy sigh gorgeous missouristarquiltco fabric order fatquarters arrived facemask making https co ozfycod h
"RT @BelleEpoqueC: Excited to share this item from my #etsy shop: #evileye #evil eye #facemask #facecover 
 https://t.co/cgzIIp0clb https://…",1.258182581352231e+18,The Digital Market,"Denver, Colorado",,2020-05-06,0.0,,,Twitter Web App,rt belleepoquec excited share item etsy shop evileye evil eye facemask facecover https co cgziip clb https
RT @BelleEpoqueC: Excited to share this item from my #etsy shop: #facemask #facecover # #cottonfacemask #bees https://t.co/9vOss1VWQ6 https…,1.2581825724686254e+18,The Digital Market,"Denver, Colorado",,2020-05-06,0.0,,,Twitter Web App,rt belleepoquec excited share item etsy shop facemask facecover cottonfacemask bees https co voss vwq https
RT @MailOnline: Facemask-wearing couples reunite in Naples for the first time since March https://t.co/ZCRfqfjU6B,1.2581824867286876e+18,AHolyGhost 🍁👁️‍🗨️⭐,,,2020-05-06,0.0,,,Twitter Web App,rt mailonline facemask wearing couples reunite naples first time since march https co zcrfqfju b
"It’s not just a statement, it’s my life. 🤴🏽
(Hola @ladygaga y dooneyandbourke how are ya?) 😏👜
•
•
#moraleking #moki… https://t.co/Q76CAS8FeH",1.2581822689522156e+18,Morale King 🤴🏽,502 - 201,"{'type': 'Point', 'coordinates': [-85.7554, 38.2525]}",2020-05-06,0.0,"{'type': 'Point', 'coordinates': [38.2525, -85.7554]}","Place(_api=<tweepy.api.API object at 0x11430af10>, id='095534ad3107e0e6', url='https://api.twitter.com/1.1/geo/id/095534ad3107e0e6.json', place_type='city', name='Louisville', full_name='Louisville, KY', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x11430af10>, type='Polygon', coordinates=[[[-85.847503, 38.108678], [-85.597188, 38.108678], [-85.597188, 38.282432], [-85.847503, 38.282432]]]), attributes={})",Instagram,statement life hola ladygaga dooneyandbourke ya moraleking moki https co q cas feh
"RT @lqdino_: This is me wearing a facemask.

#SEVENTEEN #WONWOO #원우 #세븐틴 @pledis_17 https://t.co/QZEti9kduj",1.2581822389586944e+18,Maybe I create this on ig someday.,,,2020-05-06,0.0,,,Twitter for Android,rt lqdino wearing facemask seventeen wonwoo pledis https co qzeti kduj
